id,title,brand,category,subcategory,year,num_reviews,price,rating,in_stock,description
B07WFR4F4L,"Aqua Original 4-in-1 Monterey Hammock Pool Float & Water Hammock – Multi-Purpose, Inflatable Pool Floats for Adults – Patented Thick, Non-Stick PVC Material",Aqua,Toys & Games,Sports & Outdoor Play,2020,3213,13.15,4.6,true,"Color: Light Blue/White Stripe Relax or workout. The Monterey boasts a 4-in-1 inflatable float system: hammock, lounge chair, exercise saddle, and Drifter. The Multi-purpose lounge quickly converts for relaxation, socializing, and even exercise in the pool. Lounge features comfortable cool weave fabric and folds easily for portability. Easily inflate and deflate with duo lock inflation system. The Monterey inflatable float system is a great addition to the summer pool this season and delivers fun so you can socialize, relax and even exercise. -Versatile: Monterey 4-in-1 Hammock offers 4 unique positions! Hammock, lounge chair, drifter and exercise saddle. Great for free-motion water (aerobics) exercise. -Recline-Relax-Dream: Supportive mesh lining keeps you cool as you relax on the water’s surface. -#1 Customer Comment: “Easiest pool float to get on and get off of while in the water.” -Perfect Size: 44” x 28” (112 cm x 71 cm) -Ages 15 and up; Weight Capacity 250 lbs. WARNING: This is not a life-saving device. NEVER leave children unattended while device is in use. Use only under competent supervision. Good safety practices should be followed at all times. Do not over-inflate or use high-pressure air to inflate."
B08KB43G56,Rawlings | MACH Batting Helmet | Junior & Senior Sizes | Matte One Tone | Multiple Colors,Rawlings,Sports & Outdoors,Sports,2020,237,54.95,4.7,true,"About this item MAXIMUM PROTECTION | Pro inspired protection from the Official Helmet of Major League Baseball to help you feel confident in the batters box IMPAX FOAM | High-performance material for added comfort that absorbs and disperses force OPTIMIZED VENTILATION | Keeps you cool and dry in the batters box and on the basepaths SLEEK DESIGN | Pro-style matte design SIZING | Junior - 6 3/8"" - 7 1/8"" Hat Size MEETS NOCSAE STANDARD"
B09F6K11ZK,TORRO Magnetic Case Compatible with iPad Mini 6th Gen 2021 - Genuine Leather Cover with [Multiple Viewing Angles] [Wake/Sleep Enabled] (Black),TORRO,Electronics,Computers & Accessories,2021,222,56.99,4.4,true,TORRO Magnetic Case Compatible with iPad Mini 6th Gen 2021 - Genuine Leather Cover with [Multiple Viewing Angles] [Wake/Sleep Enabled] (Black) by TORRO. Electronics > Computers & Accessories. Sold on Amazon.
B088SL9M27,"Sloggers Waterproof Garden Shoe for Women – Outdoor Slip-On Rain and Garden Clogs with Premium Comfort Support Insole, (Tulip Black), (Size 11)",Sloggers,"Clothing, Shoes & Jewelry",Women,2024,21267,34.99,4.6,true,"Slip into waterproof comfort with Sloggers Tulip Print Black rain and garden shoe. Features our ""All-Day-Comfort"" insoles for maximum comfort and our signature deep lug tread for great traction. Easy-on and easy to clean-up. You'll soon know why Sloggers are America's #1 Backdoor Shoe. Note: prints may vary slightly from shoe to shoe. Women's 6 -11. Proudly Made in the USA"
B08XLXVGGW,Jot & Mark Recipe Cards Floral Double Sided 4x6 50 Count (Wildflower),Jot & Mark,Home & Kitchen,Kitchen & Dining,2021,2747,5.67,4.9,true,"About this item Save your favorite food and drink recipes on these modern recipe cards. Cherish grandma's best baking recipes. Or collect and swap your favorite recipes with friends. Made on standard 4x6 inch matte card stock for easy writing, lined on both sides for more space. Pack of 50 cards. Wildflower design. Dual-Sided."
B093LSW6GT,Sperry Men's Halyard CVO Sneaker,Sperry,"Clothing, Shoes & Jewelry",Men,2014,1109,64.75,4.6,true,"Men's Sperry, Halyard CVO Sneaker. Add this nautical styled casual shoe to your everyday look. The easy going canvas uppers and classic laced design will keep you looking great, while the durable traction outsole will keep you moving along. Canavs, wool or fabric upper with logo accents Lace up closure for a secure fit Fabric lining Removable cushioned footbed for added comfort Non marking, rubber outsole with wave siping for wet and dry traction"
B005QLTNME,"Convenience Concepts Designs2Go Classic Glass 4 Tier Corner Shelf, Black Glass",Convenience Concepts,Home & Kitchen,Home Décor Products,2011,295,43.35,4.7,true,"Contemporary styling is the essence of Convenience Concepts Inc., midnight collection . The clean, sleek lines define the four tier corner shelf. Stainless steel clad poles won't rust. Easy, no tools required assembly sets up in minutes. Will provide years of enjoyment. Four black tempered glass shelves."
B09WN2MVVP,"MitoVilla Green Waffle Small Stall Shower Curtain 36 x 72, Sage Green Half Size Shower Curtain, Farmhouse Fabric Narrow Shower Curtains for Bathroom Decor, 36 inch Weighted Shower Curtain Set",MitoVilla,Home & Kitchen,Bath,2022,180,13.99,4.6,true,"About this item HEAVY WAFFLE FABRIC - Waffle weave textured, which is non-toxic, wrinkle-resistant, and non-fading, which means more heavy duty and last longer than other items in the market. Extra strong fabric and can keep its shape and does not billow like lightweight shower curtains. RUST-RESISTANT METAL GROMMET HOLES - The 36 inches modern stall shower curtain have 6 stainless metal grommets and 12 free plastic hooks to guarantee no rust. EASY TO CLEAN - The modern shower curtain is machine washable in cold water, dries quickly. Extra strong fabric and tight hem could avoid shrinkage and deformation. VERSATILE OPTIONS - Multi color options and classy designs makes this fabric shower curtain perfect for any bathroom. Whether you are redecorating your master bathroom, guest bathroom, this shower curtain is a wonderful option for you. WARM TIPS - The heavy-duty shower curtain can resist water to some degree. Only a little bit of water will soak through, and most of the water will form water drops on the surface and quickly be repelled. Recommend using together with waterproof plastic shower curtain liner, If you pursue higher water resistance."
B097BK5V34,Timberland Unisex-Adult Pro Ballast Men's Steel Toe Electrical,Timberland,"Clothing, Shoes & Jewelry",Men,2021,16,94.99,4.1,true,"Electrical hazard protection, all-weather outsoles, and comfortable anti-fatigue footbeds make these steel safety-toe work boots an essential for the job site."
B06ZYKZ3VS,"Navitas Organics Essential Superfood Protein Blend, Vanilla & Greens, 8.4oz. Bag,10 Servings — Organic, Non-GMO, Gluten-Free, Plant-Based Protein",Navitas Organics,Health & Household,Diet & Sports Nutrition,2024,250,26.99,4.4,true,"Support daily energy and vitality with Navitas Organics Vanilla & Greens Essential Blend, a carefully formulated combination of organic plant-based protein and superfood nutrition. Made from five diverse sources of plant-based protein, superfoods, greens, and a powerful probiotic (6 bil. CFUs) and digestive enzyme blend, Vanilla & Greens Essential Blend provides antioxidants, minerals, fiber, complete protein and gut support in one easy-to-use mix. With a mildly sweet vanilla flavor, enjoy Vanilla & Greens shaken with water or almond milk, blended into smoothies, or added to yogurts, cereals or other recipes. 100% minimally processed, plant-based ingredients. Contains no added sugar, Stevia, fillers or isolate nutrients (fortified ingredients)."
